swale	plot	time	treatment	Camf.d	Camf.k	Camf.r	Camf.y	Camf.w	Days	Camb.d	Camb.k	Camb.r	Camb.y	Camb.w
sw7	p122	t3	cb12	6	0	0	1	0	14	1	0	0	1	0
sw7	p123	t3	cb12	8	0	4	2	0	14	1	0	1	1	0
sw7	p126	t3	cb12	3	0	8	0	0	14	1	0	1	0	0
sw8	p190	t3	cb12	10	0	2	0	2	14	1	0	1	0	1
sw8	p197	t3	cb12	8	6	2	0	1	14	1	1	1	0	1
sw8	p198	t3	cb12	12	4	0	0	2	14	1	1	0	0	1
sw1	p260	t3	ob12	4	3	0	0	0	14	1	1	0	0	0
sw1	p286	t3	ob12	4	0	0	0	3	14	1	0	0	0	1
sw1	p290	t3	ob12	5	1	0	0	2	14	1	1	0	0	1
sw2	p347	t3	ob12	5	3	6	0	5	14	1	1	1	0	1
sw2	p351B	t3	ob12	2	1	9	0	7	14	1	1	1	0	1
sw2	p353B	t3	ob12	0	2	0	0	2	14	0	1	0	0	1
sw4	p360	t3	oub	1	0	0	0	2	14	1	0	0	0	1
sw4	p362	t3	oub	1	0	0	2	5	14	1	0	0	1	1
sw4	p364	t3	oub	0	1	0	2	4	14	0	1	0	1	1
sw9	p380	t3	cb12	2	1	1	0	3	14	1	1	1	0	1
sw9	p383	t3	cb12	12	0	0	0	0	14	1	0	0	0	0
sw9	p390	t3	cb12	8	1	7	0	0	14	1	1	1	0	0
sw5	p406	t3	oub	4	1	0	1	2	14	1	1	0	1	1
sw5	p413	t3	oub	4	1	0	2	4	14	1	1	0	1	1
sw5	p416	t3	oub	0	0	1	0	2	14	0	0	1	0	1
sw6	p437	t3	oub	1	0	1	1	0	14	1	0	1	1	0
sw6	p453	t3	oub	0	1	7	6	0	14	0	1	1	1	0
sw6	p464	t3	oub	1	1	6	10	0	14	1	1	1	1	0
sw11	p493	t3	cb09	2	0	0	5	1	14	1	0	0	1	1
sw12	p496	t3	cb09	1	1	11	7	5	14	1	1	1	1	1
sw12	p497	t3	cb09	0	0	10	6	1	14	0	0	1	1	1
sw12	p499	t3	cb09	0	0	2	0	0	14	0	0	1	0	0
sw11	p501	t3	cb09	5	0	0	11	4	14	1	0	0	1	1
sw11	p502	t3	cb09	0	0	0	10	2	14	0	0	0	1	1
sw10	p505	t3	cb09	0	0	0	9	0	14	0	0	0	1	0
sw10	p511	t3	cb09	1	0	2	9	2	14	1	0	1	1	1
sw10	p512	t3	cb09	2	0	0	2	2	14	1	0	0	1	1
sw3	p68	t3	ob12	2	2	2	0	3	14	1	1	1	0	1
sw3	p72	t3	ob12	3	3	2	0	3	14	1	1	1	0	1
sw3	p74	t3	ob12	7	1	3	0	6	14	1	1	1	0	1
