swale	plot	time	treatment	FAR.r	FAR.d	FAR.w	FAR.k	FAR.y	FAR.days	FARp.r	FARp.d	FARp.w	FARp.k	FARp.y	FARm.r	FARm.d	FARm.w	FARm.k	FARm.y	FARb.r	FARb.d	FARb.w	FARb.k	FARb.y
s1	p220	t2	ob12	2	1	2	8	1	89	0.02247191	0.011235955	0.02247191	0.08988764	0.011235955	0.04897724	0.238764045	0.025468165	0.115569823	0.008988764	1	1	1	1	1
s1	p224	t2	ob12	2	1	13	0	2	89	0.02247191	0.011235955	0.146067416	0	0.02247191	0.04897724	0.238764045	0.165543071	0	0.017977528	1	1	1	0	1
s1	p226	t2	ob12	1	0	0	0	0	89	0.011235955	0	0	0	0	0.02448862	0	0	0	0	1	0	0	0	0
s1	p227	t2	ob12	3	0	13	0	1	89	0.033707865	0	0.146067416	0	0.011235955	0.07346586	0	0.165543071	0	0.008988764	1	0	1	0	1
s1	p229	t2	ob12	2	1	4	4	4	89	0.02247191	0.011235955	0.04494382	0.04494382	0.04494382	0.04897724	0.238764045	0.05093633	0.057784912	0.035955056	1	1	1	1	1
s1	p230	t2	ob12	0	0	6	0	0	89	0	0	0.06741573	0	0	0	0	0.076404494	0	0	0	0	1	0	0
s1	p232	t2	ob12	0	2	3	16	0	89	0	0.02247191	0.033707865	0.179775281	0	0	0.47752809	0.038202247	0.231139647	0	0	1	1	1	0
s1	p233	t2	ob12	5	0	1	15	6	89	0.056179775	0	0.011235955	0.168539326	0.06741573	0.1224431	0	0.012734082	0.216693419	0.053932584	1	0	1	1	1
s1	p235	t2	ob12	6	3	15	6	0	89	0.06741573	0.033707865	0.168539326	0.06741573	0	0.14693172	0.716292135	0.191011236	0.086677368	0	1	1	1	1	0
s1	p236	t2	ob12	0	2	4	9	0	89	0	0.02247191	0.04494382	0.101123596	0	0	0.47752809	0.05093633	0.130016051	0	0	1	1	1	0
s1	p239	t2	ob12	0	0	5	5	5	89	0	0	0.056179775	0.056179775	0.056179775	0	0	0.063670412	0.07223114	0.04494382	0	0	1	1	1
s1	p240	t2	ob12	5	2	11	8	12	89	0.056179775	0.02247191	0.123595506	0.08988764	0.134831461	0.1224431	0.47752809	0.140074906	0.115569823	0.107865169	1	1	1	1	1
s1	p241	t2	ob12	0	1	4	10	0	89	0	0.011235955	0.04494382	0.112359551	0	0	0.238764045	0.05093633	0.144462279	0	0	1	1	1	0
s1	p243	t2	ob12	0	0	0	15	0	89	0	0	0	0.168539326	0	0	0	0	0.216693419	0	0	0	0	1	0
s1	p244	t2	ob12	0	1	4	70	0	90	0	0.011111111	0.044444444	0.777777778	0	0	0.236111111	0.05037037	1	0	0	1	1	1	0
s1	p246	t2	ob12	2	3	7	13	0	90	0.022222222	0.033333333	0.077777778	0.144444444	0	0.048433048	0.708333333	0.088148148	0.185714286	0	1	1	1	1	0
s1	p253	t2	ob12	0	2	13	6	1	90	0	0.022222222	0.144444444	0.066666667	0.011111111	0	0.472222222	0.163703704	0.085714286	0.008888889	0	1	1	1	1
s1	p258	t2	ob12	1	2	8	25	2	90	0.011111111	0.022222222	0.088888889	0.277777778	0.022222222	0.024216524	0.472222222	0.100740741	0.357142857	0.017777778	1	1	1	1	1
s1	p259	t2	ob12	0	0	19	9	2	90	0	0	0.211111111	0.1	0.022222222	0	0	0.239259259	0.128571429	0.017777778	0	0	1	1	1
s1	p260	t2	ob12	3	3	3	9	0	91	0.032967033	0.032967033	0.032967033	0.098901099	0	0.071851226	0.700549451	0.037362637	0.127158556	0	1	1	1	1	0
s1	p262	t2	ob12	2	2	13	12	13	90	0.022222222	0.022222222	0.144444444	0.133333333	0.144444444	0.048433048	0.472222222	0.163703704	0.171428571	0.115555556	1	1	1	1	1
s1	p263	t2	ob12	1	2	9	28	14	90	0.011111111	0.022222222	0.1	0.311111111	0.155555556	0.024216524	0.472222222	0.113333333	0.4	0.124444444	1	1	1	1	1
s1	p269	t2	ob12	3	1	17	15	0	90	0.033333333	0.011111111	0.188888889	0.166666667	0	0.072649573	0.236111111	0.214074074	0.214285714	0	1	1	1	1	0
s1	p273	t2	ob12	0	0	0	7	0	91	0	0	0	0.076923077	0	0	0	0	0.098901099	0	0	0	0	1	0
s1	p277	t2	ob12	0	1	12	11	1	91	0	0.010989011	0.131868132	0.120879121	0.010989011	0	0.233516484	0.149450549	0.155416013	0.008791209	0	1	1	1	1
s1	p279	t2	ob12	4	2	13	44	0	90	0.044444444	0.022222222	0.144444444	0.488888889	0	0.096866097	0.472222222	0.163703704	0.628571429	0	1	1	1	1	0
s1	p286	t2	ob12	0	0	7	3	3	90	0	0	0.077777778	0.033333333	0.033333333	0	0	0.088148148	0.042857143	0.026666667	0	0	1	1	1
s1	p287	t2	ob12	0	0	1	16	0	84	0	0	0.011904762	0.19047619	0	0	0	0.013492063	0.244897959	0	0	0	1	1	0
s1	p288	t2	ob12	2	1	1	6	4	90	0.022222222	0.011111111	0.011111111	0.066666667	0.044444444	0.048433048	0.236111111	0.012592593	0.085714286	0.035555556	1	1	1	1	1
s1	p289	t2	ob12	1	0	10	0	0	90	0.011111111	0	0.111111111	0	0	0.024216524	0	0.125925926	0	0	1	0	1	0	0
s1	p290	t2	ob12	2	0	0	8	0	90	0.022222222	0	0	0.088888889	0	0.048433048	0	0	0.114285714	0	1	0	0	1	0
s1	p293	t2	ob12	0	0	1	6	4	90	0	0	0.011111111	0.066666667	0.044444444	0	0	0.012592593	0.085714286	0.035555556	0	0	1	1	1
s1	p294	t2	ob12	0	2	2	31	0	90	0	0.022222222	0.022222222	0.344444444	0	0	0.472222222	0.025185185	0.442857143	0	0	1	1	1	0
s1	p296	t2	ob12	1	0	6	1	0	90	0.011111111	0	0.066666667	0.011111111	0	0.024216524	0	0.075555556	0.014285714	0	1	0	1	1	0
s1	p299	t2	ob12	0	0	5	6	0	90	0	0	0.055555556	0.066666667	0	0	0	0.062962963	0.085714286	0	0	0	1	1	0
s1	p301	t2	ob12	7	1	0	0	0	90	0.077777778	0.011111111	0	0	0	0.16951567	0.236111111	0	0	0	1	1	0	0	0
s1	p303	t2	ob12	3	0	8	10	5	91	0.032967033	0	0.087912088	0.10989011	0.054945055	0.071851226	0	0.0996337	0.141287284	0.043956044	1	0	1	1	1
s1	p304	t2	ob12	4	0	1	6	0	91	0.043956044	0	0.010989011	0.065934066	0	0.095801634	0	0.012454212	0.08477237	0	1	0	1	1	0
s1	p308	t2	ob12	1	0	5	0	0	84	0.011904762	0	0.05952381	0	0	0.025946276	0	0.067460317	0	0	1	0	1	0	0
s1	p309	t2	ob12	0	0	4	0	0	90	0	0	0.044444444	0	0	0	0	0.05037037	0	0	0	0	1	0	0
s1	p313	t2	ob12	3	0	0	0	0	91	0.032967033	0	0	0	0	0.071851226	0	0	0	0	1	0	0	0	0
s1	p315	t2	ob12	0	0	1	17	0	91	0	0	0.010989011	0.186813187	0	0	0	0.012454212	0.240188383	0	0	0	1	1	0
s1	p318	t2	ob12	2	1	8	7	2	91	0.021978022	0.010989011	0.087912088	0.076923077	0.021978022	0.047900817	0.233516484	0.0996337	0.098901099	0.017582418	1	1	1	1	1
s1	p319	t2	ob12	2	0	4	0	1	90	0.022222222	0	0.044444444	0	0.011111111	0.048433048	0	0.05037037	0	0.008888889	1	0	1	0	1
s1	p321	t2	ob12	1	0	0	1	0	90	0.011111111	0	0	0.011111111	0	0.024216524	0	0	0.014285714	0	1	0	0	1	0
s2	p347	t2	ob12	1	0	8	0	1	96	0.010416667	0	0.083333333	0	0.010416667	0.022702991	0	0.094444444	0	0.008333333	1	0	1	0	1
s2	p348	t2	ob12	2	0	0	0	0	96	0.020833333	0	0	0	0	0.045405983	0	0	0	0	1	0	0	0	0
s2	p351B	t2	ob12	3	0	38	12	2	96	0.03125	0	0.395833333	0.125	0.020833333	0.068108974	0	0.448611111	0.160714286	0.016666667	1	0	1	1	1
s2	p352B	t2	ob12	1	0	16	4	7	96	0.010416667	0	0.166666667	0.041666667	0.072916667	0.022702991	0	0.188888889	0.053571429	0.058333333	1	0	1	1	1
s2	p353B	t2	ob12	0	0	8	14	0	96	0	0	0.083333333	0.145833333	0	0	0	0.094444444	0.1875	0	0	0	1	1	0
s3	p43	t2	ob12	21	0	40	37	8	97	0.216494845	0	0.412371134	0.381443299	0.082474227	0.47184774	0	0.467353952	0.490427099	0.065979381	1	0	1	1	1
s3	p65	t2	ob12	32	2	73	32	5	97	0.329896907	0.020618557	0.75257732	0.329896907	0.051546392	0.71900608	0.43814433	0.852920962	0.424153166	0.041237113	1	1	1	1	1
s3	p68	t2	ob12	3	0	30	54	16	97	0.030927835	0	0.309278351	0.556701031	0.164948454	0.06740682	0	0.350515464	0.715758468	0.131958763	1	0	1	1	1
s3	p72	t2	ob12	5	1	15	3	0	96	0.052083333	0.010416667	0.15625	0.03125	0	0.113514957	0.221354167	0.177083333	0.040178571	0	1	1	1	1	0
s3	p74	t2	ob12	16	0	21	5	5	97	0.164948454	0	0.216494845	0.051546392	0.051546392	0.35950304	0	0.245360825	0.066273932	0.041237113	1	0	1	1	1
s3	p76	t2	ob12	0	0	8	2	0	97	0	0	0.082474227	0.020618557	0	0	0	0.09347079	0.026509573	0	0	0	1	1	0
s3	p78	t2	ob12	2	0	4	0	0	96	0.020833333	0	0.041666667	0	0	0.045405983	0	0.047222222	0	0	1	0	1	0	0
s3	p80	t2	ob12	0	0	7	15	3	97	0	0	0.072164948	0.154639175	0.030927835	0	0	0.081786942	0.198821797	0.024742268	0	0	1	1	1
s3	p83	t2	ob12	5	1	9	0	1	96	0.052083333	0.010416667	0.09375	0	0.010416667	0.113514957	0.221354167	0.10625	0	0.008333333	1	1	1	0	1
s4	p354	t2	opub	0	0	13	4	0	85	0	0	0.152941176	0.047058824	0	0	0	0.173333333	0.060504202	0	0	0	1	1	0
s4	p355	t2	opub	0	0	8	0	18	85	0	0	0.094117647	0	0.211764706	0	0	0.106666667	0	0.169411765	0	0	1	0	1
s4	p356	t2	opub	0	0	20	6	6	85	0	0	0.235294118	0.070588235	0.070588235	0	0	0.266666667	0.090756303	0.056470588	0	0	1	1	1
s4	p357	t2	opub	0	0	12	0	2	85	0	0	0.141176471	0	0.023529412	0	0	0.16	0	0.018823529	0	0	1	0	1
s4	p360	t2	opub	0	0	22	16	9	85	0	0	0.258823529	0.188235294	0.105882353	0	0	0.293333333	0.242016807	0.084705882	0	0	1	1	1
s4	p362	t2	opub	0	2	27	15	16	85	0	0.023529412	0.317647059	0.176470588	0.188235294	0	0.5	0.36	0.226890756	0.150588235	0	1	1	1	1
s4	p364	t2	opub	0	0	30	0	17	85	0	0	0.352941176	0	0.2	0	0	0.4	0	0.16	0	0	1	0	1
s4	p365	t2	opub	0	0	32	9	3	85	0	0	0.376470588	0.105882353	0.035294118	0	0	0.426666667	0.136134454	0.028235294	0	0	1	1	1
s4	p369	t2	opub	0	0	16	10	20	85	0	0	0.188235294	0.117647059	0.235294118	0	0	0.213333333	0.151260504	0.188235294	0	0	1	1	1
s5	p398	t2	opub	0	0	1	7	16	86	0	0	0.011627907	0.081395349	0.186046512	0	0	0.013178295	0.104651163	0.148837209	0	0	1	1	1
s5	p399	t2	opub	0	0	12	9	11	86	0	0	0.139534884	0.104651163	0.127906977	0	0	0.158139535	0.134551495	0.102325581	0	0	1	1	1
s5	p404	t2	opub	0	0	10	6	11	86	0	0	0.11627907	0.069767442	0.127906977	0	0	0.131782946	0.089700997	0.102325581	0	0	1	1	1
s5	p406	t2	opub	0	1	33	7	5	86	0	0.011627907	0.38372093	0.081395349	0.058139535	0	0.247093023	0.434883721	0.104651163	0.046511628	0	1	1	1	1
s5	p408	t2	opub	0	3	51	27	18	86	0	0.034883721	0.593023256	0.313953488	0.209302326	0	0.74127907	0.672093023	0.403654485	0.16744186	0	1	1	1	1
s5	p409	t2	opub	0	2	17	2	14	86	0	0.023255814	0.197674419	0.023255814	0.162790698	0	0.494186047	0.224031008	0.029900332	0.130232558	0	1	1	1	1
s5	p413	t2	opub	5	0	28	22	4	86	0.058139535	0	0.325581395	0.255813953	0.046511628	0.126714371	0	0.368992248	0.328903654	0.037209302	1	0	1	1	1
s5	p416	t2	opub	1	0	21	27	10	86	0.011627907	0	0.244186047	0.313953488	0.11627907	0.025342874	0	0.276744186	0.403654485	0.093023256	1	0	1	1	1
s5	p417	t2	opub	0	0	11	0	0	86	0	0	0.127906977	0	0	0	0	0.14496124	0	0	0	0	1	0	0
s6	p419	t2	opub	2	0	9	8	14	80	0.025	0	0.1125	0.1	0.175	0.054487179	0	0.1275	0.128571429	0.14	1	0	1	1	1
s6	p422	t2	opub	19	1	20	0	36	80	0.2375	0.0125	0.25	0	0.45	0.517628205	0.265625	0.283333333	0	0.36	1	1	1	0	1
s6	p425	t2	opub	20	0	9	6	0	80	0.25	0	0.1125	0.075	0	0.544871795	0	0.1275	0.096428571	0	1	0	1	1	0
s6	p426	t2	opub	0	0	22	0	20	80	0	0	0.275	0	0.25	0	0	0.311666667	0	0.2	0	0	1	0	1
s6	p427	t2	opub	1	0	11	0	4	80	0.0125	0	0.1375	0	0.05	0.02724359	0	0.155833333	0	0.04	1	0	1	0	1
s6	p434	t2	opub	7	0	6	0	13	80	0.0875	0	0.075	0	0.1625	0.190705128	0	0.085	0	0.13	1	0	1	0	1
s6	p437	t2	opub	12	0	24	9	22	80	0.15	0	0.3	0.1125	0.275	0.326923077	0	0.34	0.144642857	0.22	1	0	1	1	1
s6	p439	t2	opub	1	0	9	0	2	80	0.0125	0	0.1125	0	0.025	0.02724359	0	0.1275	0	0.02	1	0	1	0	1
s6	p443	t2	opub	5	0	0	1	100	80	0.0625	0	0	0.0125	1.25	0.136217949	0	0	0.016071429	1	1	0	0	1	1
s6	p444	t2	opub	15	0	9	6	19	80	0.1875	0	0.1125	0.075	0.2375	0.408653846	0	0.1275	0.096428571	0.19	1	0	1	1	1
s6	p445	t2	opub	4	0	8	0	11	80	0.05	0	0.1	0	0.1375	0.108974359	0	0.113333333	0	0.11	1	0	1	0	1
s6	p446	t2	opub	11	1	26	11	24	80	0.1375	0.0125	0.325	0.1375	0.3	0.299679487	0.265625	0.368333333	0.176785714	0.24	1	1	1	1	1
s6	p449	t2	opub	15	1	13	5	43	80	0.1875	0.0125	0.1625	0.0625	0.5375	0.408653846	0.265625	0.184166667	0.080357143	0.43	1	1	1	1	1
s6	p450	t2	opub	1	2	10	0	84	80	0.0125	0.025	0.125	0	1.05	0.02724359	0.53125	0.141666667	0	0.84	1	1	1	0	1
s6	p452	t2	opub	34	0	5	2	20	85	0.4	0	0.058823529	0.023529412	0.235294118	0.871794872	0	0.066666667	0.030252101	0.188235294	1	0	1	1	1
s6	p453	t2	opub	8	1	25	6	35	85	0.094117647	0.011764706	0.294117647	0.070588235	0.411764706	0.205128205	0.25	0.333333333	0.090756303	0.329411765	1	1	1	1	1
s6	p454	t2	opub	1	0	38	0	0	80	0.0125	0	0.475	0	0	0.02724359	0	0.538333333	0	0	1	0	1	0	0
s6	p455	t2	opub	2	0	48	5	95	80	0.025	0	0.6	0.0625	1.1875	0.054487179	0	0.68	0.080357143	0.95	1	0	1	1	1
s6	p457	t2	opub	12	3	9	5	46	85	0.141176471	0.035294118	0.105882353	0.058823529	0.541176471	0.307692308	0.75	0.12	0.075630252	0.432941176	1	1	1	1	1
s6	p458	t2	opub	14	0	31	5	61	85	0.164705882	0	0.364705882	0.058823529	0.717647059	0.358974359	0	0.413333333	0.075630252	0.574117647	1	0	1	1	1
s6	p459	t2	opub	17	2	10	14	33	85	0.2	0.023529412	0.117647059	0.164705882	0.388235294	0.435897436	0.5	0.133333333	0.211764706	0.310588235	1	1	1	1	1
s6	p460	t2	opub	2	0	7	0	12	85	0.023529412	0	0.082352941	0	0.141176471	0.051282051	0	0.093333333	0	0.112941176	1	0	1	0	1
s6	p463	t2	opub	13	1	27	12	32	80	0.1625	0.0125	0.3375	0.15	0.4	0.354166667	0.265625	0.3825	0.192857143	0.32	1	1	1	1	1
s6	p464	t2	opub	26	4	20	29	57	85	0.305882353	0.047058824	0.235294118	0.341176471	0.670588235	0.666666667	1	0.266666667	0.438655462	0.536470588	1	1	1	1	1
s6	p469	t2	opub	7	1	75	5	29	85	0.082352941	0.011764706	0.882352941	0.058823529	0.341176471	0.179487179	0.25	1	0.075630252	0.272941176	1	1	1	1	1
s6	p470	t2	opub	33	0	38	29	7	85	0.388235294	0	0.447058824	0.341176471	0.082352941	0.846153846	0	0.506666667	0.438655462	0.065882353	1	0	1	1	1
s6	p472	t2	opub	39	1	25	6	29	85	0.458823529	0.011764706	0.294117647	0.070588235	0.341176471	1	0.25	0.333333333	0.090756303	0.272941176	1	1	1	1	1
s6	p473	t2	opub	7	0	12	6	34	85	0.082352941	0	0.141176471	0.070588235	0.4	0.179487179	0	0.16	0.090756303	0.32	1	0	1	1	1
s6	p474	t2	opub	15	0	11	0	10	86	0.174418605	0	0.127906977	0	0.11627907	0.380143113	0	0.14496124	0	0.093023256	1	0	1	0	1
s6	p475	t2	opub	13	1	27	1	16	85	0.152941176	0.011764706	0.317647059	0.011764706	0.188235294	0.333333333	0.25	0.36	0.01512605	0.150588235	1	1	1	1	1
s6	p478	t2	opub	21	1	19	0	2	86	0.244186047	0.011627907	0.220930233	0	0.023255814	0.532200358	0.247093023	0.250387597	0	0.018604651	1	1	1	0	1
s6	p482	t2	opub	1	0	1	20	0	80	0.0125	0	0.0125	0.25	0	0.02724359	0	0.014166667	0.321428571	0	1	0	1	1	0
s7	p86	t2	cb12	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s7	p87	t2	cb12	1	1	3	0	0	97	0.010309278	0.010309278	0.030927835	0	0	0.02246894	0.219072165	0.035051546	0	0	1	1	1	0	0
s7	p101	t2	cb12	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s7	p102	t2	cb12	3	1	0	0	0	97	0.030927835	0.010309278	0	0	0	0.06740682	0.219072165	0	0	0	1	1	0	0	0
s7	p121	t2	cb12	0	0	1	0	0	97	0	0	0.010309278	0	0	0	0	0.011683849	0	0	0	0	1	0	0
s7	p122	t2	cb12	2	0	0	0	0	97	0.020618557	0	0	0	0	0.04493788	0	0	0	0	1	0	0	0	0
s7	p123	t2	cb12	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s7	p124	t2	cb12	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
